,,0
params,Chinese Score(1967) - Score(1933),-0.0007063756905713726
params,const,-0.10072826626445679
params,_f_test,0.21133972340063015
pvals,Chinese Score(1967) - Score(1933),0.6619060237809669
pvals,const,0.004680145968308843
pvals,_f_test,0.6619060237809669
std,Chinese Score(1967) - Score(1933),0.0015365446242732485
std,const,0.023009723683681916
statistics,adj_r2,-0.12697104195221653
statistics,r2,0.03402482118381445
