,,0
params,Year,-0.0003190164907930245
params,const,0.6403981874425517
params,_f_test,0.403289185577621
pvals,Year,0.5273542209827611
pvals,const,0.5206237360981245
pvals,_f_test,0.5273542209828025
std,Year,0.0005023481940369904
std,const,0.9921535801904453
statistics,adj_r2,-0.008019952087522153
statistics,r2,0.005420313940311616
